source_dataset,target_dataset,seed,is_ood,quantile_set,layer,delta_vs_last,delta_ci_lo,delta_ci_hi,delta_above_zero,is_best_layer,is_last_layer,n_test_series,n_test_windows,bootstrap_replicates
uber_tlc_hourly,m4_hourly,0,True,q9,9,-0.8232636935894302,-1.0219180062718016,-0.64604661995796,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,10,-1.3074458122253416,-1.5239835907654993,-1.0948063555409648,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,11,-1.048014637873723,-1.229339594837068,-0.8726864174441236,False,False,False,124,650,5000
uber_tlc_hourly,m4_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,124,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,0,-0.35082140042231647,-0.5282367624337487,-0.17561598589151522,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,1,-0.16487364402184124,-0.3387942775343834,-0.007146044550023964,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,2,0.11436566793001646,-0.03154824148568092,0.2469088746123431,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,3,0.1400397095313437,0.02232457955611607,0.25550582878532285,True,True,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,4,-0.1933923842356755,-0.3325336353839118,-0.05861447040426533,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,5,-0.2547442905719466,-0.38257186748132477,-0.1306602306637085,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,6,-0.24916943219991783,-0.3764568498176363,-0.12268164434235736,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,7,-0.058933034676772245,-0.17164434830651087,0.05546811360382153,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,8,-0.5422970217924847,-0.6699745369537824,-0.41588669267627143,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,9,-0.9502539609028746,-1.1106811323756265,-0.8019756985204164,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,10,-0.8842284822463986,-1.0418243553325726,-0.7319697229024424,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,11,-1.2486036333670985,-1.4049300240073814,-1.1005647240075191,False,False,False,286,650,5000
uber_tlc_hourly,monash_electricity_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,286,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,0,-0.1942893794866709,-0.28106840126297344,-0.11310335136863646,False,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,1,0.18225052356719917,0.1260005092228271,0.23858797651394958,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,2,0.23462471044980493,0.181756668184963,0.2889254800586213,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,3,0.3320632035915665,0.2720847979342042,0.3918464782821654,True,True,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,4,0.285518287145174,0.2291776285551313,0.34207663914731967,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,5,0.2993608383031985,0.2364207039645907,0.3644216232402107,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,6,0.2625845810083236,0.20421315176106533,0.3213030857439841,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,7,0.19900743557856604,0.14686632416397055,0.2546390839425152,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,8,0.20299219443247818,0.1499984406746853,0.25848345522800226,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,9,0.170873693319467,0.12164320886182407,0.22560637832445637,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,10,0.23800462282620938,0.1839940858492148,0.2966041158768035,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,11,0.15078415320469762,0.1040365651591438,0.2017526485655448,True,False,False,245,650,5000
uber_tlc_hourly,uber_tlc_hourly,0,False,q9,12,0.0,0.0,0.0,False,False,True,245,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,0,1.7421080083113445,1.4955612608893674,1.992017427842325,True,True,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,1,0.7717285570731525,0.5105565972163576,1.0245320540783598,True,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,2,0.7419256280018729,0.5023299625606092,0.9898767511594422,True,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,3,0.8461597336255577,0.5976314263665992,1.1157453488738265,True,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,4,-0.4829282001348645,-0.8076748212942826,-0.13480024811246125,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,5,-0.595070349986738,-0.9321529856874057,-0.25114469466871847,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,6,-1.3790719278042136,-1.8187249594775323,-0.96560301236851,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,7,-0.5393779453864465,-0.9369740868567895,-0.14003156607555858,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,8,-2.358334180024954,-2.7819809738806476,-1.9401505508115546,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,9,-2.703221464157105,-3.084508272747955,-2.310802331588761,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,10,-1.7309327782117414,-2.0524838283524582,-1.3987744207662531,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,11,-1.0525800378505998,-1.329319691101653,-0.7675850512327997,False,False,False,261,650,5000
uber_tlc_hourly,wind_farms_hourly,0,True,q9,12,0.0,0.0,0.0,False,False,True,261,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,0,-0.5783320927619933,-0.6858228297992762,-0.469376865900451,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,1,-0.22403122773537287,-0.3342121816532946,-0.10509907220076921,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,2,0.49660719247964735,0.39191346393063653,0.5959914070777433,True,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,3,0.8621708162014303,0.7622517262456875,0.9597764711595551,True,True,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,4,0.4419876432418821,0.34741131093716565,0.5306061473074786,True,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,5,0.7020042004952067,0.571894047448723,0.8281143563414962,True,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,6,-0.4789431590300337,-0.5943958171087428,-0.35412538139648136,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,7,-0.8765638168041523,-1.062255602424629,-0.6942158874528789,False,False,False,124,650,5000
wind_farms_hourly,m4_hourly,0,True,q9,8,-1.1766881880393392,-1.345323278779826,-1.0163086085219215,False,False,False,124,650,5000
