source_dataset,target_dataset,layer,seed,split,is_ood,pooling,quantile_config,quantile_set,context_length,prediction_length,probe_run_id,probe_checkpoint,selected_source_hyperparameters,quantile_loss,mean_pinball_loss,mase,mae_median_raw,n_test_windows,n_test_series
monash_electricity_hourly,wind_farms_hourly,10,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L10.pt,"{""weight_decay"": 0.1}",7.824410915374756,0.4346894919872284,5.4413042819913136,68.41640135456177,650,261
monash_electricity_hourly,wind_farms_hourly,11,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L11.pt,"{""weight_decay"": 0.1}",7.459381103515625,0.4144100546836853,5.959938300323014,59.83800361646807,650,261
monash_electricity_hourly,wind_farms_hourly,12,0,test,True,content,9,q9,512,64,monash_electricity_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/monash_electricity_hourly__content__C512_H64__q9__seed0/L12.pt,"{""weight_decay"": 0.1}",7.027923583984375,0.3904401957988739,4.89410186285196,54.26582261719172,650,261
uber_tlc_hourly,monash_electricity_hourly,0,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L00.pt,"{""weight_decay"": 0.001}",5.830795764923096,0.32393309473991394,4.403189760889713,1161.1479565889326,650,286
uber_tlc_hourly,monash_electricity_hourly,1,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L01.pt,"{""weight_decay"": 1e-05}",5.644847393035889,0.31360265612602234,5.1005242605065115,1502.4840976004366,650,286
uber_tlc_hourly,monash_electricity_hourly,2,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L02.pt,"{""weight_decay"": 0.01}",5.3656086921691895,0.2980893552303314,4.0700725060884295,1046.754086852231,650,286
uber_tlc_hourly,monash_electricity_hourly,3,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L03.pt,"{""weight_decay"": 0.1}",5.339934349060059,0.2966630160808563,4.103186168790294,1144.7860842210282,650,286
uber_tlc_hourly,monash_electricity_hourly,4,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L04.pt,"{""weight_decay"": 0.1}",5.673366546630859,0.3151870369911194,4.384883246222841,1224.549425879155,650,286
uber_tlc_hourly,monash_electricity_hourly,5,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L05.pt,"{""weight_decay"": 0.1}",5.734718322753906,0.3185954689979553,4.435523600879468,1254.1111805132034,650,286
uber_tlc_hourly,monash_electricity_hourly,6,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L06.pt,"{""weight_decay"": 0.1}",5.7291436195373535,0.3182857632637024,4.665398418390972,1403.7304995254565,650,286
uber_tlc_hourly,monash_electricity_hourly,7,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L07.pt,"{""weight_decay"": 0.1}",5.538907051086426,0.30771705508232117,3.895418527832897,1122.5222429973874,650,286
uber_tlc_hourly,monash_electricity_hourly,8,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L08.pt,"{""weight_decay"": 0.1}",6.022271156311035,0.33457061648368835,4.715176664495193,1242.9489188369178,650,286
uber_tlc_hourly,monash_electricity_hourly,9,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L09.pt,"{""weight_decay"": 0.1}",6.430228233337402,0.3572348952293396,5.286330891988617,1400.5401107367516,650,286
uber_tlc_hourly,monash_electricity_hourly,10,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L10.pt,"{""weight_decay"": 0.1}",6.36420202255249,0.35356682538986206,5.55604193883107,1480.3203789440684,650,286
uber_tlc_hourly,monash_electricity_hourly,11,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L11.pt,"{""weight_decay"": 0.1}",6.728578090667725,0.3738098442554474,6.499165876334209,1546.9452185265502,650,286
uber_tlc_hourly,monash_electricity_hourly,12,0,test,True,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L12.pt,"{""weight_decay"": 0.01}",5.479974269866943,0.30444300174713135,4.180464337996769,1072.869159334073,650,286
uber_tlc_hourly,uber_tlc_hourly,0,0,test,False,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L00.pt,"{""weight_decay"": 0.001}",4.704066276550293,0.261337012052536,1.3305314452360069,8.713078587656605,650,245
uber_tlc_hourly,uber_tlc_hourly,1,0,test,False,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L01.pt,"{""weight_decay"": 1e-05}",4.327526092529297,0.24041812121868134,1.2014760488602592,7.228794049945529,650,245
uber_tlc_hourly,uber_tlc_hourly,2,0,test,False,content,9,q9,512,64,uber_tlc_hourly__content__C512_H64__q9__seed0,/home/eserebri/repos/chronos2-layerwise-probing/results/extended_v2/ood_transfer/checkpoints/uber_tlc_hourly__content__C512_H64__q9__seed0/L02.pt,"{""weight_decay"": 0.01}",4.27515172958374,0.23750844597816467,1.1575184881045453,7.012461005393707,650,245
