dataset,short,kind,layer,layer_label,condition,experiment,mase,mase_ci_lo,mase_ci_hi
coastal_ts,Coastal T-S,PT-OOD,13,L12+RMS,linear_adapter,ext_v5,1.130997,0.942115,1.355057
boom_hourly,BOOM,PT-OOD,0,Emb,zero_shot,ext_v5,1.872471,1.428903,2.509167
boom_hourly,BOOM,PT-OOD,0,Emb,linear_adapter,ext_v5,1.698894,1.255239,2.324318
boom_hourly,BOOM,PT-OOD,1,L1,zero_shot,ext_v5,1.465538,1.041498,2.100785
boom_hourly,BOOM,PT-OOD,1,L1,linear_adapter,ext_v5,1.051007,0.658472,1.673269
boom_hourly,BOOM,PT-OOD,2,L2,zero_shot,ext_v5,1.410636,0.987246,2.044424
boom_hourly,BOOM,PT-OOD,2,L2,linear_adapter,ext_v5,1.051718,0.65805,1.673579
boom_hourly,BOOM,PT-OOD,3,L3,zero_shot,ext_v5,1.376453,0.955005,2.00727
boom_hourly,BOOM,PT-OOD,3,L3,linear_adapter,ext_v5,1.047476,0.655963,1.674059
boom_hourly,BOOM,PT-OOD,4,L4,zero_shot,ext_v5,1.327141,0.911153,1.96042
boom_hourly,BOOM,PT-OOD,4,L4,linear_adapter,ext_v5,1.052764,0.661611,1.674592
boom_hourly,BOOM,PT-OOD,5,L5,zero_shot,ext_v5,1.33628,0.925509,1.962336
boom_hourly,BOOM,PT-OOD,5,L5,linear_adapter,ext_v5,1.049708,0.660254,1.666068
boom_hourly,BOOM,PT-OOD,6,L6,zero_shot,ext_v5,1.338453,0.932341,1.959542
boom_hourly,BOOM,PT-OOD,6,L6,linear_adapter,ext_v5,1.076837,0.685129,1.696875
boom_hourly,BOOM,PT-OOD,7,L7,zero_shot,ext_v5,1.325483,0.920877,1.945745
boom_hourly,BOOM,PT-OOD,7,L7,linear_adapter,ext_v5,1.078061,0.689018,1.694368
boom_hourly,BOOM,PT-OOD,8,L8,zero_shot,ext_v5,1.328633,0.925962,1.944081
boom_hourly,BOOM,PT-OOD,8,L8,linear_adapter,ext_v5,1.088193,0.698821,1.704678
boom_hourly,BOOM,PT-OOD,9,L9,zero_shot,ext_v5,1.28996,0.890064,1.901059
boom_hourly,BOOM,PT-OOD,9,L9,linear_adapter,ext_v5,1.097544,0.703908,1.722576
boom_hourly,BOOM,PT-OOD,10,L10,zero_shot,ext_v5,1.077142,0.68797,1.696317
boom_hourly,BOOM,PT-OOD,10,L10,linear_adapter,ext_v5,1.024373,0.636553,1.643655
boom_hourly,BOOM,PT-OOD,11,L11,zero_shot,ext_v5,1.109743,0.722211,1.735476
boom_hourly,BOOM,PT-OOD,11,L11,linear_adapter,ext_v5,0.980954,0.590958,1.600247
boom_hourly,BOOM,PT-OOD,12,L12,zero_shot,ext_v5,0.947018,0.557852,1.564358
boom_hourly,BOOM,PT-OOD,12,L12,linear_adapter,ext_v5,0.975574,0.585954,1.59358
boom_hourly,BOOM,PT-OOD,13,L12+RMS,native,ext_v5,0.947018,0.557852,1.564358
boom_hourly,BOOM,PT-OOD,13,L12+RMS,zero_shot,ext_v5,0.947018,0.557852,1.564358
boom_hourly,BOOM,PT-OOD,13,L12+RMS,linear_adapter,ext_v5,0.947018,0.557852,1.564358
