dataset,H,K,output_patch_size,quantile_set,num_quantiles,readout,metric,layer,point,ci_lo,ci_hi,delta_vs_L11,delta_ci_lo,delta_ci_hi,delta_above_zero,is_primary_comparison,val_selected_layer,n_test_series,n_test_windows,bootstrap_seed,n_replicates
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,8,2.0978469848632812,1.9591241137741204,2.2393244767443448,0.11482596397399902,0.08702559127035789,0.14437659473305747,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,9,2.1171071529388428,1.9793091782295158,2.2584355934066487,0.0955657958984375,0.06799433796435583,0.12383601166598218,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,10,2.1606388092041016,2.018588157209448,2.303259992971717,0.05203413963317871,0.02958329174477382,0.07460588979142391,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,quantile_loss,11,2.2126729488372803,2.067898029052059,2.357417552849908,0.0,0.0,0.0,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,0,1.4224496162482676,1.3619624969823036,1.479894753917789,-0.10539483752124768,-0.12918705667843702,-0.08066008233376844,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,1,1.3823896148420924,1.325498904902483,1.438592975893055,-0.06533483611507251,-0.08384008787496205,-0.04523306945153568,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,2,1.2797121947424535,1.2296205055593699,1.328865426995854,0.03734258398456647,0.014553006035261046,0.06146064609259694,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,3,1.2220978687971942,1.1773931115604663,1.2675577944415652,0.09495690992982575,0.07382051700679897,0.11653465326197728,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,4,1.191558620020173,1.1449895228014477,1.2400125094243484,0.12549615870684683,0.10478224921445346,0.14611599077400636,True,True,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,5,1.2032626862164486,1.158573143101723,1.2495207275212652,0.11379209251057132,0.09301113450316215,0.13323533350814576,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,6,1.2165406622777097,1.1697932791866021,1.2645429891489868,0.10051411644931019,0.08216965006365284,0.11830196275934575,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,7,1.2395608021948126,1.1897266871428975,1.2917797520786962,0.07749397653220735,0.06180014781689901,0.09403958145886177,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,8,1.2555357180995943,1.202290875785678,1.3118146990368242,0.061519060627425626,0.04549449070046825,0.07876499084769946,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,9,1.2653077477367007,1.2096557622672495,1.3249106280084262,0.05174703099031919,0.03469502251907748,0.06932215145965434,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,10,1.2940208662307275,1.2399701944400239,1.3511304743869121,0.023033912496292386,0.009646953268470065,0.03683165015244556,True,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg,mase_context,11,1.31705477872702,1.2605587800377347,1.3741033770395192,0.0,0.0,0.0,False,False,4,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,0,2.5157041549682617,2.356150381625687,2.6755128546299654,-0.027373790740966797,-0.07078036330573977,0.01928303894239557,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,1,2.3789350986480713,2.226614579603073,2.5307474223752844,0.10939526557922363,0.07091691798795577,0.15005542182396134,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,2,2.301309823989868,2.151992784507519,2.4550263551191476,0.18702054023742676,0.14868439965396898,0.2273055105156723,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,3,2.3053371906280518,2.1596209597334624,2.4490003025658402,0.18299317359924316,0.14741219372504527,0.22344575785183526,True,True,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,4,2.3086328506469727,2.1627870040286212,2.4509474333631998,0.17969751358032227,0.1442327473048679,0.2170473372316057,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,5,2.3272929191589355,2.18593759862934,2.4667006044975586,0.16103744506835938,0.12092814662157425,0.2029952549893068,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,6,2.3804097175598145,2.2350734170205113,2.523822139048824,0.10792064666748047,0.06714262189201978,0.1491196335897982,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,7,2.434843063354492,2.288535395045694,2.5816291506576508,0.053487300872802734,0.010891607203934384,0.09516577363570641,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,8,2.478464126586914,2.33259157959329,2.627699731603233,0.00986623764038086,-0.037838486878328345,0.056843683842825274,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,9,2.457131862640381,2.3174962804996895,2.6019954436797352,0.031198501586914062,-0.01143977647464578,0.07546655239592984,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,10,2.4986400604248047,2.348949175512923,2.653364467890218,-0.010309696197509766,-0.04635248499869525,0.024989951254377106,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,quantile_loss,11,2.488330364227295,2.3427065999284973,2.63181183752949,0.0,0.0,0.0,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,0,1.4774655125707732,1.41028530203511,1.5467369502215391,0.030454471406974992,-0.0021739135161854993,0.0630033501648496,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,1,1.4060341520882544,1.3497102962967287,1.4631253721148545,0.10188583188949374,0.06877338069092506,0.13538401720526683,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,2,1.3563440268586158,1.301091247515971,1.410668066782044,0.1515759571191324,0.1205903590402981,0.18341580375546007,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,3,1.3658914558809974,1.3080135063278964,1.4243483914523507,0.14202852809675082,0.11398878196087794,0.1721800448218352,True,True,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,4,1.3767949708623841,1.3219191112088833,1.4325687025904181,0.13112501311536406,0.10184321825734734,0.16190287889190816,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,5,1.3945223809728169,1.3401745059341659,1.4493720076066918,0.11339760300493129,0.08344391916347094,0.14235369249839125,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,6,1.4281729963662204,1.370641657847145,1.4862493235496461,0.07974698761152776,0.051653108879010645,0.10733597913601838,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,7,1.4629040329500616,1.3989023256643325,1.5302020397625986,0.04501595102768663,0.016485625490394125,0.07352288226652183,True,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,8,1.4924990518257264,1.4286432262599493,1.5569648596888814,0.015420932152021782,-0.014648229437157934,0.04464344048369066,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,9,1.491631759551204,1.4216467106269224,1.564648558629319,0.016288224426544096,-0.012170062768011553,0.04480661477307357,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,10,1.5155125863890206,1.4475608659345862,1.5843410530330366,-0.007592602411272464,-0.029031004602438185,0.013745563261694049,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,content_K,mase_context,11,1.5079199839777482,1.4416985940070612,1.5739523676431477,0.0,0.0,0.0,False,False,3,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg_K,quantile_loss,0,2.4423322677612305,2.286760749681547,2.5956281353550934,-0.2010643482208252,-0.24402291546135285,-0.1586928269013045,False,False,5,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg_K,quantile_loss,1,2.3338377475738525,2.1836066052816707,2.484315938666516,-0.09256982803344727,-0.1290911337300121,-0.05638208431805248,False,False,5,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg_K,quantile_loss,2,2.164492130279541,2.0207980611617593,2.305192232982325,0.07677578926086426,0.04705638462664417,0.10649610112466892,True,False,5,59,1500,0,5000
monash_pedestrian_counts,64,4,16,q9,9,reg_K,quantile_loss,3,2.103224515914917,1.9629909305459745,2.243730662367856,0.13804340362548828,0.11751458768598486,0.15808873664935702,True,False,5,59,1500,0,5000
