pt_status,probe_status,quadrant,source_dataset,target_dataset,probe_fitted_on,wd_selected_on,tunnel_defined_on,l_start_sustained,val_selected_layer,final_reference,quantile_set,readout,probe_family,layer,layer_label,quantile_loss,mase,is_selected_layer,is_reference,in_sustained_tunnel
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,9,L9,2.295046,1.012478,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,10,L10,2.328481,1.069013,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,11,L11,2.305645,1.067929,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,12,L12,2.360271,1.099035,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,sg_carpark,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,13,L12+LN,2.280584,1.018638,False,True,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,0,Emb,6.190564,2.478381,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,1,L1,8.194356,16.963594,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,2,L2,5.79923,2.329099,False,False,False
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,3,L3,5.184339,1.973267,True,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,4,L4,5.04974,1.946665,False,False,True
PT-OOD,Probe-OOD,PT-OOD / Probe-OOD,m4_hourly,coastal_ts,m4_hourly,m4_hourly:validation,m4_hourly:validation,3,3,L12+LN,q9,fslot,shared_linear,5,L5,5.002384,1.827631,False,False,True
