model,dataset,family,tolerance,compatibility_entrance,phase1_entrance,compatibility_lag,no_truncation
timesfm3,coastal_ts,noa,tol_0.1,17,0,17,False
timesfm3,coastal_ts,ra,tol_0.01,20,18,2,True
timesfm3,coastal_ts,ra,tol_0.02,20,18,2,True
timesfm3,coastal_ts,ra,tol_0.05,20,5,15,True
timesfm3,coastal_ts,ra,tol_0.1,20,0,20,True
timesfm3,coastal_ts,probe,tol_0.01,20,18,2,True
timesfm3,coastal_ts,probe,tol_0.02,20,18,2,True
timesfm3,coastal_ts,probe,tol_0.05,18,5,13,False
timesfm3,coastal_ts,probe,tol_0.1,4,0,4,False
timesfm3,electricity_15min,hard,tol_0.01,20,11,9,True
timesfm3,electricity_15min,hard,tol_0.02,20,11,9,True
timesfm3,electricity_15min,hard,tol_0.05,20,1,19,True
timesfm3,electricity_15min,hard,tol_0.1,20,1,19,True
timesfm3,electricity_15min,noa,tol_0.01,20,11,9,True
timesfm3,electricity_15min,noa,tol_0.02,20,11,9,True
timesfm3,electricity_15min,noa,tol_0.05,20,1,19,True
timesfm3,electricity_15min,noa,tol_0.1,19,1,18,False
timesfm3,electricity_15min,ra,tol_0.01,20,11,9,True
timesfm3,electricity_15min,ra,tol_0.02,20,11,9,True
timesfm3,electricity_15min,ra,tol_0.05,20,1,19,True
timesfm3,electricity_15min,ra,tol_0.1,20,1,19,True
timesfm3,electricity_15min,probe,tol_0.01,20,11,9,True
timesfm3,electricity_15min,probe,tol_0.02,20,11,9,True
timesfm3,electricity_15min,probe,tol_0.05,20,1,19,True
timesfm3,electricity_15min,probe,tol_0.1,20,1,19,True
timesfm3,m4_hourly,hard,tol_0.01,20,20,0,True
timesfm3,m4_hourly,hard,tol_0.02,20,20,0,True
timesfm3,m4_hourly,hard,tol_0.05,20,16,4,True
timesfm3,m4_hourly,hard,tol_0.1,20,13,7,True
timesfm3,m4_hourly,noa,tol_0.01,20,20,0,True
timesfm3,m4_hourly,noa,tol_0.02,20,20,0,True
timesfm3,m4_hourly,noa,tol_0.05,20,16,4,True
timesfm3,m4_hourly,noa,tol_0.1,20,13,7,True
timesfm3,m4_hourly,ra,tol_0.01,20,20,0,True
timesfm3,m4_hourly,ra,tol_0.02,20,20,0,True
timesfm3,m4_hourly,ra,tol_0.05,20,16,4,True
timesfm3,m4_hourly,ra,tol_0.1,20,13,7,True
timesfm3,m4_hourly,probe,tol_0.01,20,20,0,True
timesfm3,m4_hourly,probe,tol_0.02,20,20,0,True
timesfm3,m4_hourly,probe,tol_0.05,20,16,4,True
timesfm3,m4_hourly,probe,tol_0.1,20,13,7,True
timesfm3,m5,hard,tol_0.01,20,20,0,True
timesfm3,m5,hard,tol_0.02,20,1,19,True
timesfm3,m5,hard,tol_0.05,20,0,20,True
timesfm3,m5,hard,tol_0.1,20,0,20,True
timesfm3,m5,noa,tol_0.01,20,20,0,True
timesfm3,m5,noa,tol_0.02,20,1,19,True
timesfm3,m5,noa,tol_0.05,20,0,20,True
timesfm3,m5,noa,tol_0.1,19,0,19,False
timesfm3,m5,ra,tol_0.01,20,20,0,True
timesfm3,m5,ra,tol_0.02,20,1,19,True
timesfm3,m5,ra,tol_0.05,20,0,20,True
timesfm3,m5,ra,tol_0.1,20,0,20,True
timesfm3,m5,probe,tol_0.01,20,20,0,True
timesfm3,m5,probe,tol_0.02,20,1,19,True
timesfm3,m5,probe,tol_0.05,20,0,20,True
timesfm3,m5,probe,tol_0.1,1,0,1,False
timesfm3,monash_electricity_hourly,hard,tol_0.01,20,16,4,True
timesfm3,monash_electricity_hourly,hard,tol_0.02,20,16,4,True
timesfm3,monash_electricity_hourly,hard,tol_0.05,20,15,5,True
timesfm3,monash_electricity_hourly,hard,tol_0.1,20,14,6,True
timesfm3,monash_electricity_hourly,noa,tol_0.01,20,16,4,True
