model,arm,depth_index,label,includes_low_skill,n_datasets,blocks_removed,fraction_blocks_removed,degradation_q25,degradation_median,degradation_q75,speedup_e2e_b1,speedup_e2e_b256,speedup_device_b1,params_removed_fraction
tirex,probe,4,L4,True,14,8,0.6666666666666666,0.07692967819146773,0.13757297480037411,0.3470678042457491,3.006776447306333,2.94954329280439,2.999319323322612,0.6564165571020537
tirex,probe,5,L5,True,14,7,0.5833333333333334,0.07635177690293221,0.132599968816836,0.30852532237178515,2.3823643029056454,2.3846625910692474,2.3846026043027235,0.5801777213582989
tirex,probe,6,L6,True,14,6,0.5,0.08008604462452829,0.13175708308241452,0.2956863298410825,1.989564913737925,1.996723131961962,1.9908788214095983,0.5039388856145441
tirex,probe,7,L7,True,14,5,0.4166666666666667,0.08949048568549711,0.14812482236142943,0.2896992402330735,1.7305468151000218,1.7147602981284726,1.7239973022242918,0.42770004987078936
tirex,probe,8,L8,True,14,4,0.3333333333333333,0.07906476580140526,0.14236421012772527,0.28453281894949645,1.5008080131589845,1.5043793013138547,1.5045412478137417,0.35146121412703446
tirex,probe,9,L9,True,14,3,0.25,0.07227286020787371,0.12790934497157624,0.2570171981424026,1.3217158231676784,1.337671179936788,1.3196822463193023,0.2752223783832797
tirex,ra,0,Emb,True,14,12,1.0,0.14695994439819549,0.5763344468698097,1.1484469048804908,339.7538550577322,50.16862166932148,369.0675405374053,0.9074234936754771
tirex,ra,1,L1,True,14,11,0.9166666666666666,0.08315441335492013,0.14794368001181168,0.41204545337358084,11.660921104149486,9.829352565156375,11.692816650895029,0.8311846579317224
tirex,ra,10,L10,True,14,2,0.16666666666666666,0.010628893671404294,0.04077881930485838,0.08052211424451672,1.2084424061714134,1.1933197569250569,1.209010968359812,0.14503513623792896
tirex,ra,11,L11,True,14,1,0.08333333333333333,0.008436971885341427,0.020545179237818068,0.043205286361133355,1.0921829826529053,1.0873720184941127,1.0885802049463533,0.06879630049417418
tirex,ra,2,L2,True,14,10,0.8333333333333334,0.05614958791499586,0.0915788520784725,0.3377514001286543,5.952474008877456,5.426456497854646,5.948647090632599,0.7549458221879676
tirex,ra,3,L3,True,14,9,0.75,0.04091660772601646,0.07918236452735994,0.3371198541045872,3.934260090355502,3.7606406571569306,3.933475583362612,0.6787069864442128
tirex,ra,4,L4,True,14,8,0.6666666666666666,0.04736880907951463,0.07302813879844239,0.3148711623826918,2.992763544698721,2.880986877542075,2.9941640357923873,0.6024681507004579
tirex,ra,5,L5,True,14,7,0.5833333333333334,0.04088962631735277,0.0688420448123761,0.2509634882243765,2.3885548671630037,2.3291230563257113,2.38733504400129,0.5262293149567031
tirex,ra,6,L6,True,14,6,0.5,0.03757320641900641,0.06956190889604896,0.1720427645583711,1.9885259272839355,1.9578255678040348,1.9895953804304374,0.4499904792129483
tirex,ra,7,L7,True,14,5,0.4166666666666667,0.03521394322526478,0.08230110142323488,0.1349058938857775,1.7143162286872053,1.6863467550583349,1.7185356659106008,0.37375164346919343
tirex,ra,8,L8,True,14,4,0.3333333333333333,0.034905003658424694,0.0935276604486166,0.1298859667095375,1.4990520763661965,1.4831772451493994,1.4919401611343168,0.29751280772543864
tirex,ra,9,L9,True,14,3,0.25,0.01723536379409968,0.06366296554461537,0.09604549637272547,1.3344069533770697,1.322744937689187,1.333818916100592,0.22127397198168386
chronos2,fl,0,Emb,False,13,12,1.0,0.2326849091252312,0.8021831177733585,1.9711868754612065,8.413659017103269,9.926948725133702,11.267174084150678,0.9431324670023679
chronos2,fl,1,L1,False,13,11,0.9166666666666666,0.07440905827725741,0.13583990664226175,0.6106540919285237,5.191288505596132,5.878024315024798,6.052952301207836,0.8641261683857495
chronos2,fl,10,L10,False,13,2,0.16666666666666666,0.005939161063519549,0.02120389265249556,0.05107770907780318,1.1801723035772915,1.1718074105910956,1.1882121115327804,0.15306948083618377
chronos2,fl,11,L11,False,13,1,0.08333333333333333,0.0043723425481978495,0.009006278734153828,0.03448860779991114,1.0811576727377534,1.0756825215310732,1.0818004500728113,0.07406318221956532
chronos2,fl,2,L2,False,13,10,0.8333333333333334,0.05396831989700179,0.10085057757405469,0.32236154325756883,3.718278084855714,4.0698978209627,4.1019772892887,0.7851198697691311
chronos2,fl,3,L3,False,13,9,0.75,0.02116527461170037,0.07159721972776723,0.10570376867067588,2.9060737457147736,3.103199858675667,3.1115721817298603,0.7061135711525126
chronos2,fl,4,L4,False,13,8,0.6666666666666666,0.01659444804470933,0.061328782414094896,0.1378267189197595,2.427405321160691,2.5137438539401016,2.5573634789044886,0.6271072725358943
chronos2,fl,5,L5,False,13,7,0.5833333333333334,0.017865812194785224,0.04142853614046227,0.11857809082430859,2.063114236323405,2.1098237209397337,2.134960704751238,0.5481009739192758
chronos2,fl,6,L6,False,13,6,0.5,0.01133080709967449,0.03713667819773092,0.1289237297062198,1.7849770182898328,1.8208712638862465,1.8361216926310084,0.46909467530265736
chronos2,fl,7,L7,False,13,5,0.4166666666666667,0.01281093578837389,0.052298546451503114,0.09314777442102229,1.5727225564742562,1.599869712860413,1.604475393490942,0.390088376686039
chronos2,fl,8,L8,False,13,4,0.3333333333333333,0.015337972575667047,0.04509097669935125,0.0884107594800827,1.4214069507549765,1.4267112880306814,1.438478862685893,0.31108207806942056
chronos2,fl,9,L9,False,13,3,0.25,0.01123214504598935,0.03352694527682587,0.060268607124024154,1.2837562507005005,1.28584454927648,1.2981720968854011,0.2320757794528021
chronos2,hard,0,Emb,False,13,12,1.0,0.29459922180499576,0.981544476181264,2.0174467288834057,8.576338360126098,10.241261902288686,11.609728510976588,0.948075583399421
chronos2,hard,1,L1,False,13,11,0.9166666666666666,0.21313585380049882,0.5787343326617769,2.0216834731608837,5.1926034665751635,6.017660965274821,6.068856190984485,0.8690692847828025
chronos2,hard,10,L10,False,13,2,0.16666666666666666,0.09251207991048283,0.134853322500871,0.49146728198088874,1.1801682120264665,1.1778164283514365,1.1861786794735782,0.1580125972332368
chronos2,hard,11,L11,False,13,1,0.08333333333333333,0.14547965757387238,0.19210816675683873,0.8184255978282344,1.066616014605315,1.081545254955935,1.0710003193390771,0.07900629861661845
chronos2,hard,2,L2,False,13,10,0.8333333333333334,0.19353771372445938,0.4915283599975633,1.978952478806609,3.745063180802789,4.123614487114269,4.143777225508858,0.7900629861661842
