model,dataset,tolerance,is_headline,label,depth_index,relative_depth,blocks_removed,rung,mase_ratio,mase_ci_lo,mase_ci_hi,wql_ratio,wql_ci_lo,wql_ci_hi,within_budget_mase,budget_fragile_mase,gap_closure_mase,gap_closure_valid,compatibility_gap_exists,low_skill
timesfm3,SZ_TAXI_15T,tol_0.05,True,L1,1,0.05,19,probe,1.1010404305330395,1.0502599162914905,1.187867245954437,1.0688167471129273,1.0478265298143135,1.0925626886959012,False,False,0.995917701564921,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.1,False,Emb,0,0.0,20,hard,22.901400903303234,21.240368928940104,24.643646412900893,41.48254208764598,38.0385023649895,45.429129570894354,False,False,,,True,False
timesfm3,SZ_TAXI_15T,tol_0.1,False,Emb,0,0.0,20,noa,1.0907352083015927,1.0448766779963443,1.1624565133654032,1.0672499735153045,1.0445720664321003,1.0910873555228722,False,True,0.9958571048170756,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.1,False,Emb,0,0.0,20,ra,1.0909760678430989,1.0449304724577309,1.1659104996197718,1.0823505698297464,1.0597462545340186,1.1065397981939844,False,True,0.9958461073679824,True,True,False
timesfm3,SZ_TAXI_15T,tol_0.1,False,Emb,0,0.0,20,probe,1.1220860715770216,1.0691177466158055,1.2115672007994003,1.0910191176335897,1.0675588338952167,1.116579696819896,False,False,0.9944256501163538,True,True,False
timesfm3,boom_hourly,tol_0.01,False,Emb,0,0.0,20,hard,32.866490320917485,22.845642966459618,52.05591369420741,81.0918019599868,58.92579392195195,115.06122822039917,False,False,,,True,False
timesfm3,boom_hourly,tol_0.01,False,Emb,0,0.0,20,noa,1.83312857155528,1.28069586002927,2.3649471635611876,1.8405650808834213,1.3564527103491482,2.321035725932941,False,False,0.9738556532845285,True,True,False
timesfm3,boom_hourly,tol_0.01,False,Emb,0,0.0,20,ra,1.9151319407609932,1.4702717278534285,2.2895314018531363,4.1460192156040065,3.416491947448193,5.345754713533607,False,False,0.9712823115584746,True,True,False
timesfm3,boom_hourly,tol_0.01,False,Emb,0,0.0,20,probe,1.3761015996407333,1.239546935353146,1.65604675795775,1.5485229970077323,1.2675422141310795,2.1299474873269477,False,False,0.9881975832338882,True,True,False
timesfm3,boom_hourly,tol_0.02,False,Emb,0,0.0,20,hard,32.866490320917485,22.845642966459618,52.05591369420741,81.0918019599868,58.92579392195195,115.06122822039917,False,False,,,True,False
timesfm3,boom_hourly,tol_0.02,False,Emb,0,0.0,20,noa,1.83312857155528,1.28069586002927,2.3649471635611876,1.8405650808834213,1.3564527103491482,2.321035725932941,False,False,0.9738556532845285,True,True,False
timesfm3,boom_hourly,tol_0.02,False,Emb,0,0.0,20,ra,1.9151319407609932,1.4702717278534285,2.2895314018531363,4.1460192156040065,3.416491947448193,5.345754713533607,False,False,0.9712823115584746,True,True,False
timesfm3,boom_hourly,tol_0.02,False,Emb,0,0.0,20,probe,1.3761015996407333,1.239546935353146,1.65604675795775,1.5485229970077323,1.2675422141310795,2.1299474873269477,False,False,0.9881975832338882,True,True,False
