job,config_id,model,kind,depth,drift,level,batch,status,median_ms,p95_ms,iqr_ms,throughput,peak_allocated_bytes,active_params,weights_bytes,gpu,native_median_ms_same_job,speedup_vs_native_same_job,native_drift_range_ms
job1_chronos2,020_chronos2_probe_head_L05,chronos2,probe_head,5,,device_forward,1,ok,8.575227,8.60138405,0.018071499999999574,116.61498873440902,210061312,50005584,200028160,NVIDIA A100-SXM4-40GB,18.893026,2.2032100141488966,0.35365350000000007
job1_chronos2,020_chronos2_probe_head_L05,chronos2,probe_head,5,,api_e2e,256,ok,83.6744295,84.2192083,0.10712600000000805,3059.4770891147814,725499904,50005584,200028160,NVIDIA A100-SXM4-40GB,181.99669649999998,2.1750575126418994,0.3272615000000201
job1_chronos2,020_chronos2_probe_head_L05,chronos2,probe_head,5,,device_forward,256,ok,72.93628749999999,73.2599907,0.06882600000000139,3509.9126754977765,724385792,50005584,200028160,NVIDIA A100-SXM4-40GB,171.075546,2.3455477631761834,0.021898999999990565
job1_chronos2,021_chronos2_native_L12_middle,chronos2,native,12,middle,api_e2e,1,ok,19.5060305,19.56146535,0.03901850000000451,51.26619688203604,487959552,119477664,477923840,NVIDIA A100-SXM4-40GB,19.5060305,1.0,0.28581599999999696
job1_chronos2,021_chronos2_native_L12_middle,chronos2,native,12,middle,device_forward,1,ok,18.9220105,18.960409600000002,0.03596974999999958,52.84850676940487,487956992,119477664,477923840,NVIDIA A100-SXM4-40GB,18.893026,0.9984682124555422,0.35365350000000007
job1_chronos2,021_chronos2_native_L12_middle,chronos2,native,12,middle,api_e2e,256,ok,181.99669649999998,187.78214905000002,0.2480354999999861,1406.6189382728717,1003395584,119477664,477923840,NVIDIA A100-SXM4-40GB,181.99669649999998,1.0,0.3272615000000201
job1_chronos2,021_chronos2_native_L12_middle,chronos2,native,12,middle,device_forward,256,ok,171.0725755,171.2348877,0.023857249999991836,1496.4409067425306,1002805760,119477664,477923840,NVIDIA A100-SXM4-40GB,171.075546,1.0000173639754433,0.021898999999990565
job1_chronos2,022_chronos2_probe_head_L02,chronos2,probe_head,2,,api_e2e,1,ok,4.9906109999999995,5.01674155,0.01677450000000036,200.37626655333386,96786944,21687120,86751232,NVIDIA A100-SXM4-40GB,19.5060305,3.9085455668654605,0.28581599999999696
job1_chronos2,022_chronos2_probe_head_L02,chronos2,probe_head,2,,device_forward,1,ok,4.351914000000001,4.372752,0.015293499999999405,229.78395253215018,96784384,21687120,86751232,NVIDIA A100-SXM4-40GB,18.893026,4.341314189572679,0.35365350000000007
job1_chronos2,022_chronos2_probe_head_L02,chronos2,probe_head,2,,api_e2e,256,ok,42.5787825,42.95886365,0.048766500000006374,6012.384219769553,612222976,21687120,86751232,NVIDIA A100-SXM4-40GB,181.99669649999998,4.274351820651518,0.3272615000000201
job1_chronos2,022_chronos2_probe_head_L02,chronos2,probe_head,2,,device_forward,256,ok,31.578939499999997,31.60131925,0.01830200000000204,8106.668686578281,611108864,21687120,86751232,NVIDIA A100-SXM4-40GB,171.075546,5.417393639833916,0.021898999999990565
job1_chronos2,023_chronos2_probe_head_L11,chronos2,probe_head,11,,api_e2e,1,ok,17.838419000000002,17.920381850000002,0.05343675000000303,56.0587796485776,436617728,106642512,426582016,NVIDIA A100-SXM4-40GB,19.5060305,1.093484265617934,0.28581599999999696
job1_chronos2,023_chronos2_probe_head_L11,chronos2,probe_head,11,,device_forward,1,ok,17.236445500000002,17.28134115,0.04037025000000227,58.01660208887034,436615168,106642512,426582016,NVIDIA A100-SXM4-40GB,18.893026,1.0961091716966818,0.35365350000000007
job1_chronos2,023_chronos2_probe_head_L11,chronos2,probe_head,11,,api_e2e,256,ok,166.779922,167.1819716,0.1940840000000037,1534.9569476354593,952053760,106642512,426582016,NVIDIA A100-SXM4-40GB,181.99669649999998,1.0912386474194418,0.3272615000000201
job1_chronos2,023_chronos2_probe_head_L11,chronos2,probe_head,11,,device_forward,256,ok,155.652746,155.7563393,0.026715749999993932,1644.686692517458,950939648,106642512,426582016,NVIDIA A100-SXM4-40GB,171.075546,1.0990846637553056,0.021898999999990565
job1_chronos2,024_chronos2_hard_L01,chronos2,hard,1,,api_e2e,1,ok,3.756503,3.78552155,0.017150499999999624,266.2050316477852,73414656,15643296,62575104,NVIDIA A100-SXM4-40GB,19.5060305,5.1926034665751635,0.28581599999999696
job1_chronos2,024_chronos2_hard_L01,chronos2,hard,1,,device_forward,1,ok,3.1131115,3.12511455,0.00994575000000042,321.2220313984899,73412096,15643296,62575104,NVIDIA A100-SXM4-40GB,18.893026,6.068856190984485,0.35365350000000007
job1_chronos2,024_chronos2_hard_L01,chronos2,hard,1,,api_e2e,256,ok,30.507912,30.795847849999998,0.04378950000000259,8391.265846053311,559866368,15643296,62575104,NVIDIA A100-SXM4-40GB,181.99669649999998,5.9655572790428915,0.3272615000000201
