model,dataset,arm,depth_index,label,blocks_removed,budgets,physical_test_mase,offline_test_mase,mase_mean_rel_diff,V3_passed,active_params,fraction_params_removed
tirex,electricity_15min,noa,11,L11,1,0.05,1.2578246815738083,1.2578502120609973,2.0296921639958457e-05,False,32863296,0.06879630049417418
tirex,electricity_15min,probe,10,L10,2,0.2,1.3639317656555847,1.3640395969443755,7.905290215352086e-05,False,28268832,0.1989835426395249
tirex,m4_hourly,fl,10,L10,2,0.2,0.9399364441001882,0.9399390055758076,2.725150891913544e-06,False,30172736,0.14503513623792896
tirex,m4_hourly,fl,11,L11,1,0.02;0.05;0.1,0.865918367499839,0.8659296210820614,1.2995954807924648e-05,False,32863296,0.06879630049417418
tirex,m4_hourly,noa,10,L10,2,0.2,0.8906780979021995,0.8906764075163448,1.897867553772235e-06,False,30172736,0.14503513623792896
tirex,m4_hourly,noa,11,L11,1,0.1,0.84641465444183,0.8464206997442321,7.14219584178432e-06,False,32863296,0.06879630049417418
tirex,m5,fl,0,Emb,12,0.1;0.2,1.0836957871766568,1.0836957844678956,2.4995586899518574e-09,True,3267136,0.9074234936754771
tirex,m5,fl,1,L1,11,0.05,1.0488174776903552,1.0488173141291282,1.559482521916526e-07,True,5957696,0.8311846579317224
tirex,m5,fl,10,L10,2,0.02,1.0104205622894946,1.010419212928024,1.3354471622222106e-06,False,30172736,0.14503513623792896
tirex,m5,noa,0,Emb,12,0.1;0.2,1.084730179211386,1.0847301271020342,4.803900105708527e-08,True,3267136,0.9074234936754771
tirex,m5,noa,8,L8,4,0.05,1.0429398505652934,1.042938337035864,1.4512166017828488e-06,False,24791616,0.29751280772543864
tirex,m5,probe,0,Emb,12,0.1;0.2,1.0958198744297907,1.09581987462423,1.774373307233657e-10,True,1363232,0.9613719000770731
tirex,monash_electricity_hourly,fl,11,L11,1,0.2,0.8826594022074703,0.882663696168652,4.864776018740221e-06,False,32863296,0.06879630049417418
tirex,monash_electricity_hourly,noa,10,L10,2,0.2,0.9283127181015648,0.9283120571647747,7.119769531963551e-07,False,30172736,0.14503513623792896
tirex,monash_electricity_hourly,noa,11,L11,1,0.1,0.8832656749092314,0.8832476136958033,2.0448641069623166e-05,False,32863296,0.06879630049417418
