model,arm,budget,includes_low_skill,n_datasets,n_cut,n_no_cut,n_within_budget_test_cut,median_fraction_blocks_removed,median_speedup_e2e_b1,median_speedup_e2e_b256,cut_degradation_q25,cut_degradation_median,cut_degradation_q75
tirex,hard,0.05,False,12,0,12,0,0.0,1.0,1.0,,,
tirex,hard,0.1,False,12,0,12,0,0.0,1.0,1.0,,,
tirex,hard,0.2,False,12,0,12,0,0.0,1.0,1.0,,,
tirex,noa,0.02,False,12,5,7,2,0.0,1.0,1.0,0.016403286832716635,0.030916635594220088,0.0346450712138775
tirex,noa,0.05,False,12,7,5,4,0.08333333333333333,1.0921829826529053,1.0873720184941127,0.011193872193231869,0.02967564807431211,0.06354978674643585
tirex,noa,0.1,False,12,11,1,8,0.20833333333333331,1.2714246797742415,1.258032347307122,0.04547799868032154,0.06828649432552147,0.10119141930913045
tirex,noa,0.2,False,12,12,0,11,0.3333333333333333,1.4990520763661965,1.4831772451493994,0.0866744068009857,0.10143702232870888,0.13391263194116632
tirex,probe,0.02,False,12,0,12,0,0.0,1.0,1.0,,,
tirex,probe,0.05,False,12,1,11,1,0.0,1.0,1.0,0.044326068308720545,0.044326068308720545,0.044326068308720545
tirex,probe,0.1,False,12,4,8,1,0.0,1.0,1.0,0.0482944819012604,0.1164219097553374,0.1293031689951612
tirex,probe,0.2,False,12,7,5,6,0.125,1.1490516601238556,1.1534419854912077,0.09384768446666858,0.10923356569076437,0.15836262320911887
tirex,ra,0.02,False,12,5,7,2,0.0,1.0,1.0,0.01616428705507067,0.02502010517246922,0.0441576495670819
tirex,ra,0.05,False,12,6,6,3,0.041666666666666664,1.0460914913264525,1.0436860092470563,0.020718235589871847,0.045188879752611544,0.07379230161831962
tirex,ra,0.1,False,12,9,3,6,0.125,1.1503126944121593,1.140345887709585,0.02259971734430022,0.07739748864451168,0.10042518748614548
tirex,ra,0.2,False,12,11,1,10,0.375,1.606684152526701,1.5847620001038671,0.09149122602152326,0.10042518748614548,0.13098020244733877
